,Created,GPS,Location,Model,POST ID,latitude,longitude
153,2021:01:06 17:07:48,"38 deg 53' 31.92"" N, 77 deg 2' 6.72"" W",True,iPhone 11,8YA6CeYMxHh4,38.8922,-77.0352
154,2021:01:06 22:10:57,"38 deg 53' 22.92"" N, 77 deg 0' 37.08"" W",True,,8ziKp2FKa3Sb,38.8897,-77.0103
155,2021:01:06 13:03:23,"38 deg 53' 30.84"" N, 77 deg 2' 12.48"" W",True,iPhone 11 Pro Max,91Vga2rHrrID,38.8919,-77.0368
156,2021:01:06 20:10:22,"38 deg 53' 23.64"" N, 77 deg 0' 37.08"" W",True,iPhone 12 Pro Max,92T2a5WhOOdi,38.8899,-77.0103
157,2021:01:06 15:37:19,"38 deg 53' 28.32"" N, 77 deg 2' 14.28"" W",True,iPhone XS Max,97U9MwaEtdVz,38.8912,-77.0373
158,2021:01:06 21:13:55,"38 deg 53' 22.56"" N, 77 deg 0' 37.08"" W",True,,99Z6yIaTknNG,38.8896,-77.0103
159,2021:01:06 19:45:42,"38 deg 53' 22.92"" N, 77 deg 0' 37.44"" W",True,iPhone 11,9bJLFfPeZlk8,38.8897,-77.0104
160,2021:01:06 17:08:17,"38 deg 53' 29.76"" N, 77 deg 2' 7.08"" W",True,iPhone 7,9H6cOk9iVoHA,38.8916,-77.03529999999999
161,2021:01:06 20:51:41,"38 deg 53' 23.64"" N, 77 deg 0' 37.80"" W",True,iPhone 12 Pro Max,9HgjVjxIB1F0,38.8899,-77.0105
162,2021:01:06 20:17:40,"38 deg 53' 22.92"" N, 77 deg 0' 37.80"" W",True,iPhone 12 Pro Max,9iAT30LM1MKX,38.8897,-77.0105
163,2021:01:06 19:42:20,"38 deg 53' 25.44"" N, 77 deg 0' 34.20"" W",True,iPhone 11,9M4Lnsf790sK,38.8904,-77.0095
164,2021:01:06 20:11:33,"38 deg 53' 21.12"" N, 77 deg 0' 29.52"" W",True,,9mroY9bM530c,38.8892,-77.0082
165,2021:01:06 20:24:26,"38 deg 53' 50.64"" N, 77 deg 0' 23.40"" W",True,iPhone 7 Plus,9P8DDrJUAT5Z,38.8974,-77.0065
166,2021:01:06 19:28:19,"38 deg 53' 22.20"" N, 77 deg 0' 38.88"" W",True,,9quKY3UvWlvg,38.8895,-77.0108
167,2021:01:06 15:32:59,"38 deg 53' 30.12"" N, 77 deg 2' 12.12"" W",True,iPhone 11,9RrnmonKnZLm,38.8917,-77.0367
168,2021:01:06 20:41:31,"38 deg 53' 23.28"" N, 77 deg 0' 30.96"" W",True,iPhone XR,9T1Wgyjt0vKj,38.8898,-77.0086
169,2021:01:06 18:29:46,"38 deg 53' 24.36"" N, 77 deg 0' 39.24"" W",True,iPhone 8,9tpBDvg0t5aY,38.8901,-77.0109
170,2021:01:06 18:53:34,"38 deg 53' 24.36"" N, 77 deg 0' 36.72"" W",True,iPhone 12 Pro Max,9wOEguonR5WK,38.8901,-77.0102
171,2021:01:06 19:30:32,"38 deg 53' 24.72"" N, 77 deg 0' 39.96"" W",True,iPhone 8 Plus,9YKTu0zdQL5F,38.8902,-77.0111
