Created,GPS,DC Latitude,Model,POST ID
2021:01:06 19:03:59,"38 deg 53' 24.36"" N, 77 deg 0' 36.72"" W",TRUE,iPhone X,70PxGZN8jdkz
2021:01:06 14:50:42,"38 deg 53' 22.20"" N, 77 deg 2' 8.52"" W",TRUE,null,78CswbGDMZ93
2021:01:06 19:03:59,"38 deg 53' 24.36"" N, 77 deg 0' 36.72"" W",TRUE,iPhone X,7dlSyXDWtlyA
2021:01:06 21:15:40,"38 deg 53' 24.36"" N, 77 deg 0' 38.52"" W",TRUE,iPhone 12,7eLmGW77Y5o1
2021:01:06 18:19:23,"38 deg 53' 24.00"" N, 77 deg 0' 37.08"" W",TRUE,iPhone 8 Plus,7fckI1220tbu
2021:01:06 19:24:58,"38 deg 53' 26.16"" N, 77 deg 0' 44.28"" W",TRUE,iPhone 12 Pro,7Fu9YJVZmNkj
2021:01:06 19:46:27,"38 deg 53' 24.00"" N, 77 deg 0' 35.64"" W",TRUE,iPhone 7 Plus,7iB22C7LbbNy
2021:01:06 20:10:24,"38 deg 53' 23.28"" N, 77 deg 0' 36.00"" W",TRUE,iPhone 11,7ImZGTdfdcUk
2021:01:06 15:58:06,"38 deg 53' 29.40"" N, 77 deg 1' 59.88"" W",TRUE,iPhone 11,7JHuazklsU8v
2021:01:06 13:19:12,"38 deg 53' 20.76"" N, 77 deg 2' 12.48"" W",TRUE,iPhone 11 Pro Max,7lZbNvTpYzCg
2021:01:06 19:16:54,"38 deg 53' 23.64"" N, 77 deg 0' 39.24"" W",TRUE,null,7n9O8ZT8uXvQ
2021:01:06 20:21:40,"38 deg 53' 22.20"" N, 77 deg 0' 37.44"" W",TRUE,iPhone XR,7WJTCduTUKpl
2021:01:06 20:24:46,"38 deg 53' 25.08"" N, 77 deg 0' 38.16"" W",TRUE,iPhone 8,7zAhxOgZLwXG
2021:01:06 19:41:59,"38 deg 53' 26.88"" N, 77 deg 0' 43.20"" W",TRUE,iPhone X,7zqjUDoBOHwI
2021:01:06 19:20:41,"38 deg 53' 22.20"" N, 77 deg 0' 36.72"" W",TRUE,iPhone 12 Pro,8154Nmd3bQq2
2021:01:06 16:58:49,"38 deg 53' 29.04"" N, 77 deg 2' 11.04"" W",TRUE,iPhone 11 Pro Max,83QmTetHJ5T5
2021:01:06 18:44:20,"38 deg 53' 26.52"" N, 77 deg 0' 43.56"" W",TRUE,iPhone 11 Pro Max,86ax9hKzrs9T
2021:01:06 13:40:32,"38 deg 53' 31.92"" N, 77 deg 2' 15.00"" W",TRUE,iPhone 11,8c4mOel34hEc
2021:01:06 21:33:07,"38 deg 53' 24.00"" N, 77 deg 0' 37.08"" W",TRUE,iPhone 11 Pro Max,8dLyJxfRn3cI
